0	0.09448	god lord jesus holy born soul king sing chorus pray glory earth grace great peace mercy mary light lay praise 
1	0.04592	man he's doo big he'll show dog america easy rich middle fun red boy fat eat white jump teeth position 
2	0.17903	it's time good hard life that's bad things thing real makes long you're don't ain't high wrong times make day 
3	0.17998	i'm yeah gotta baby alright man i've gonna don't it's crazy feel ain't mama whoa bit can't give time good 
4	0.26657	sun night sky light rain fly moon wind day shine sea stars morning river high dream blue water eyes days 
5	0.14944	love baby ooh sweet can't heart lovin kiss feel i'm honey you're true loving dream bout loves make yeah give 
6	0.10751	fire burn burning body gun higher soul inside cold deep desire light stranger power turn open hot pain set heart 
7	0.39624	i'm can't it's feel there's you're mind don't inside head eyes time hear back feeling face what's walking falling beautiful 
8	0.04294	shake dead knock head door mirror woah falling hollywood quick shoes sit tat wishing brain eat london dumb cure heaven's 
9	0.10465	home back town bring road city train ride long santa summer country big west night good end side day won't 
10	0.0792	girl hey she's nah boy woman miss lady pretty bye she'll wild that's lucky doin world eyes line make fine 
11	0.61506	love heart time i've life i'll day find chorus it's i'd you'll world long give you're hold forever eyes i'm 
12	0.21166	don't wanna make can't turn leave care stop give won't hold talk stay break wait put tonight it's feel cry 
13	0.06671	sing christmas song play happy music hear day singing year guitar songs tree merry snow gimme bells boogie write band 
14	0.17999	gonna you're i'm i'll run ain't don't make easy blue fool we're you've friend baby lose won't fine mine running 
15	0.26645	man back heard made boy money didn't daddy home thought told young big car he's son couldn't hair left bed 
16	0.17063	world people stand die blood hell life heaven death man fight war live kill living fear we're free children freedom 
17	0.00641	ang diallo greedy boom suck nana wag hai der tara taralets sanang anne kita sir heartache chorus owner ako psycho 
18	0.05339	i'm ain't shit fuck nigga niggas bitch that's y'all hit money back chorus ass big real make wit don't drop 
19	0.09225	let's dance we're rock girls party tonight roll night move beat ready boys dancing hot floor make show world round 
